user_id,event_time,session_nb,Pack Name,money Spent
8BF191CF-567A-4977-B2C9-90EC756EFD41,10-01-2015 05:07,1,Shop 5750 Tokens,99.98999786
936BAA84-CDE9-4C8F-A949-5E2CB077A9CE,9/28/2015 6:22,1,Shop 17500 Orbs,1.99000001
52807659-0332-486C-99E4-84429A1830F3,9/22/2015 10:54,1,Shop 490000 Orbs,49.99000168
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/17/2015 11:25,5,Shop 510 Tokens,9.989999771
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/17/2015 11:23,5,Shop 100 Tokens,1.99000001
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/17/2015 11:11,4,Shop 100 Tokens,1.99000001
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/17/2015 10:32,3,Shop 100 Tokens,1.99000001
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/17/2015 10:33,3,Shop 17500 Orbs,1.99000001
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/17/2015 4:40,1,Shop 510 Tokens,9.989999771
936BAA84-CDE9-4C8F-A949-5E2CB077A9CE,10/18/2015 11:24,1,Shop 250 Tokens,64.98999786
ABD7E3C9-6B10-4585-A73A-66C2B7F7B45B,11-04-2015 11:13,5,Shop 100 Tokens,1.99000001
ABD7E3C9-6B10-4585-A73A-66C2B7F7B45B,11-04-2015 10:49,5,Shop 100 Tokens,1.99000001
6BED1A04-43A3-431D-B908-5CD3E3843B5C,11-05-2015 14:37,1,Shop 192500 Orbs,19.98999977
91AA1614-4F16-46F5-B190-91BED844E9B4,11-05-2015 14:06,4,Shop 5750 Tokens,99.98999786
ABD7E3C9-6B10-4585-A73A-66C2B7F7B45B,11-05-2015 12:51,1,Shop 17500 Orbs,1.99000001
91AA1614-4F16-46F5-B190-91BED844E9B4,11-05-2015 11:15,3,Shop 510 Tokens,9.989999771
91AA1614-4F16-46F5-B190-91BED844E9B4,11-05-2015 10:14,3,Shop 510 Tokens,9.989999771
F6D9F403-6B15-41EC-9171-109E3F197AF0,11-06-2015 10:43,8,Shop 100 Tokens,1.99000001
656FF911-73E3-4922-8ED1-97051832BEA6,11-06-2015 08:29,1,Shop 2800 Tokens,49.99000168
4E2AA4CB-1164-4A69-A65E-71E98F2A0E00,11-10-2015 12:27,2,Shop 100 Tokens,2.99000001
955E1F3A-02EE-48B3-8D53-3F162AE7F7F8,12-02-2015 10:28,5,Shop 490000 Orbs,49.99000168
924E7428-E1F3-4B01-B8AA-82A9EF90C8EC,12-03-2015 11:22,4,Shop 17500 Orbs,1.99000001
288ADC14-6D31-42F2-95E9-324F77BB71A5,12-03-2015 11:03,1,Shop 510 Tokens,9.989999771
288ADC14-6D31-42F2-95E9-324F77BB71A5,12-03-2015 11:11,1,Shop 510 Tokens,9.989999771
288ADC14-6D31-42F2-95E9-324F77BB71A5,12-03-2015 09:05,1,Shop 5750 Tokens,99.98999786
0D7D3C91-B2AF-4DC8-8F3F-8951AA842EB6,12-04-2015 13:21,10,Shop 510 Tokens,14.98999977
622B2A20-EEB7-4EC5-BA81-8F0972808A58,12-04-2015 03:49,6,Shop 17500 Orbs,2.99000001
6BA96F18-4291-4E81-A51B-3908E91AD8F9,12-05-2015 11:54,1,Shop 510 Tokens,9.989999771
6BA96F18-4291-4E81-A51B-3908E91AD8F9,12-05-2015 11:52,1,Shop 510 Tokens,9.989999771
6BA96F18-4291-4E81-A51B-3908E91AD8F9,12-05-2015 11:28,1,Shop 510 Tokens,9.989999771
6BA96F18-4291-4E81-A51B-3908E91AD8F9,12-05-2015 11:29,1,Shop 510 Tokens,9.989999771
FB80713A-C966-40E4-B135-D0935283CD21,12-06-2015 11:19,7,Shop 5750 Tokens,99.98999786
90B4EEB3-6CB1-4C60-B783-8A52AE4EA5FC,12-07-2015 13:24,1,Shop 5750 Tokens,99.98999786
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,12-07-2015 10:14,2,Shop 510 Tokens,9.989999771
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,12-07-2015 10:13,2,Shop 250 Tokens,4.989999771
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,12-07-2015 08:29,3,Shop 510 Tokens,9.989999771
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,12-07-2015 04:41,3,Shop 1006250 Orbs,99.98999786
7501AF84-CA48-4689-A74A-DB1B1997B5CA,12-08-2015 05:33,3,Shop 490000 Orbs,49.99000168
7501AF84-CA48-4689-A74A-DB1B1997B5CA,12-08-2015 05:31,2,Shop 2800 Tokens,49.99000168
657BC2A4-B7BD-4C58-8275-0F9617CFA9EA,12-08-2015 05:15,1,Shop 192500 Orbs,19.98999977
91AA1614-4F16-46F5-B190-91BED844E9B4,12-09-2015 11:07,4,Shop 2800 Tokens,49.99000168
90B4EEB3-6CB1-4C60-B783-8A52AE4EA5FC,12-09-2015 08:37,2,Shop 490000 Orbs,49.99000168
288ADC14-6D31-42F2-95E9-324F77BB71A5,12-09-2015 05:19,3,Shop 5750 Tokens,99.98999786
78A64334-0854-4176-BDB2-C2067F6FC1B0,12-10-2015 07:35,3,Shop 192500 Orbs,19.98999977
1ACF63D1-44DB-4C57-BE4F-768CED9550CF,12-10-2015 05:53,1,Shop 192500 Orbs,19.98999977
61F13C2F-286E-4510-B8F6-E53DC8D3248A,12-11-2015 05:38,3,Shop 2800 Tokens,49.99000168
61F13C2F-286E-4510-B8F6-E53DC8D3248A,12-11-2015 05:26,2,Shop 490000 Orbs,49.99000168
