user_id,event_time,Level,session_nb
6BED1A04-43A3-431D-B908-5CD3E3843B5C,10/14/2015 10:28,18,4
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,10/14/2015 10:01,13,9
DC155AB7-3728-4E8D-A933-1BD7A0BC993A,10/14/2015 9:24,1,3
6BED1A04-43A3-431D-B908-5CD3E3843B5C,10/14/2015 9:16,15,3
6BED1A04-43A3-431D-B908-5CD3E3843B5C,10/14/2015 9:17,15,3
6BED1A04-43A3-431D-B908-5CD3E3843B5C,10/14/2015 8:47,14,3
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,10/14/2015 8:26,12,8
C67C6D4C-53E9-4C77-873D-8A70F9A9C9ED,10/14/2015 8:05,1,1
7F5E8F9B-269B-41BF-9DD5-F91EBFB1332D,10/15/2015 9:03,20,6
7F5E8F9B-269B-41BF-9DD5-F91EBFB1332D,10/15/2015 9:23,21,6
7F5E8F9B-269B-41BF-9DD5-F91EBFB1332D,10/15/2015 9:24,21,6
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,10/15/2015 7:58,1,5
6ED1B75C-F35B-462C-924E-EACA43550000,10/13/2015 12:14,3,1
C47A6FCE-6C76-41FE-9A6A-173AC7F01315,10/13/2015 8:41,1,1
5E9FA0C9-8363-4F75-9432-4608C495291B,10-12-2015 10:26,1,1
494CB6CD-33D7-49C3-8414-35CC5D4A86DD,10-12-2015 08:35,1,3
9F39B934-01E4-49A1-AD1F-04A48D4930B7,10-09-2015 04:56,1,1
6ED1B75C-F35B-462C-924E-EACA43550000,10-08-2015 06:29,2,3
8BF191CF-567A-4977-B2C9-90EC756EFD41,10-07-2015 10:46,1,1
8BF191CF-567A-4977-B2C9-90EC756EFD41,10-07-2015 10:39,1,1
8BF191CF-567A-4977-B2C9-90EC756EFD41,10-07-2015 05:23,1,1
6ED1B75C-F35B-462C-924E-EACA43550000,10-07-2015 04:56,1,1
2CDBF3FF-FAC1-4275-A866-179E9B9FAA42,10-07-2015 04:38,1,1
11CF5C6F-EFBC-46CD-AE7F-D8355401F329,10-06-2015 09:48,1,1
11CF5C6F-EFBC-46CD-AE7F-D8355401F329,10-06-2015 09:56,1,1
CDDDA4E8-0A5B-478A-BF00-99BCF4D9C71F,10-06-2015 07:27,6,4
936BAA84-CDE9-4C8F-A949-5E2CB077A9CE,9/30/2015 10:59,1,1
91AA1614-4F16-46F5-B190-91BED844E9B4,9/29/2015 6:08,1,1
8BF191CF-567A-4977-B2C9-90EC756EFD41,9/28/2015 6:17,8,3
8BF191CF-567A-4977-B2C9-90EC756EFD41,9/24/2015 10:31,2,3
52807659-0332-486C-99E4-84429A1830F3,9/23/2015 10:41,23,1
52807659-0332-486C-99E4-84429A1830F3,9/23/2015 10:46,23,1
9B929F4B-F206-4975-8FD5-36AE139D201F,9/23/2015 8:27,2,6
C67C6D4C-53E9-4C77-873D-8A70F9A9C9ED,9/23/2015 8:00,25,3
8BF191CF-567A-4977-B2C9-90EC756EFD41,9/22/2015 11:58,1,1
7F5E8F9B-269B-41BF-9DD5-F91EBFB1332D,10/16/2015 5:38,1,1
9F39B934-01E4-49A1-AD1F-04A48D4930B7,10/16/2015 5:02,22,2
924E7428-E1F3-4B01-B8AA-82A9EF90C8EC,10/17/2015 10:45,24,6
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/17/2015 9:52,23,7
924E7428-E1F3-4B01-B8AA-82A9EF90C8EC,10/17/2015 9:29,21,4
C67C6D4C-53E9-4C77-873D-8A70F9A9C9ED,10/19/2015 10:23,12,4
C67C6D4C-53E9-4C77-873D-8A70F9A9C9ED,10/19/2015 9:12,6,3
264EE5F0-9009-489E-85CE-35FA19750F4F,10/19/2015 6:00,1,1
90B4EEB3-6CB1-4C60-B783-8A52AE4EA5FC,10/20/2015 11:46,2,2
657BC2A4-B7BD-4C58-8275-0F9617CFA9EA,10/20/2015 11:26,1,2
90B4EEB3-6CB1-4C60-B783-8A52AE4EA5FC,10/20/2015 11:23,2,2
90B4EEB3-6CB1-4C60-B783-8A52AE4EA5FC,10/21/2015 11:27,2,1
EBDB6982-6070-45B5-9352-01F04243FBF5,10/21/2015 8:39,12,7
EBDB6982-6070-45B5-9352-01F04243FBF5,10/21/2015 8:41,12,7
ABD7E3C9-6B10-4585-A73A-66C2B7F7B45B,11-03-2015 10:58,11,2
7501AF84-CA48-4689-A74A-DB1B1997B5CA,11-03-2015 10:26,6,3
657BC2A4-B7BD-4C58-8275-0F9617CFA9EA,11-03-2015 09:44,6,2
EBDB6982-6070-45B5-9352-01F04243FBF5,11-04-2015 14:06,6,4
EBDB6982-6070-45B5-9352-01F04243FBF5,11-04-2015 13:41,6,3
6BED1A04-43A3-431D-B908-5CD3E3843B5C,11-04-2015 12:49,1,1
6BED1A04-43A3-431D-B908-5CD3E3843B5C,11-04-2015 12:43,1,1
ABD7E3C9-6B10-4585-A73A-66C2B7F7B45B,11-04-2015 10:27,12,4
ABDCA49E-EDED-4036-84E6-80A94814917E,11-04-2015 08:06,1,1
ABDCA49E-EDED-4036-84E6-80A94814917E,11-04-2015 05:47,1,1
ABD7E3C9-6B10-4585-A73A-66C2B7F7B45B,11-04-2015 05:04,6,1
6BED1A04-43A3-431D-B908-5CD3E3843B5C,11-05-2015 14:27,18,1
91AA1614-4F16-46F5-B190-91BED844E9B4,11-05-2015 13:11,17,3
78A64334-0854-4176-BDB2-C2067F6FC1B0,11-05-2015 04:28,2,1
656FF911-73E3-4922-8ED1-97051832BEA6,11-06-2015 09:56,5,3
656FF911-73E3-4922-8ED1-97051832BEA6,11-06-2015 08:46,3,2
78A64334-0854-4176-BDB2-C2067F6FC1B0,11-06-2015 08:09,30,2
78A64334-0854-4176-BDB2-C2067F6FC1B0,11-06-2015 07:47,1,1
780E1A2A-3AFE-4ECC-823A-BD909C55B6D9,11-06-2015 06:22,3,4
91AA1614-4F16-46F5-B190-91BED844E9B4,11-06-2015 06:10,1,1
656FF911-73E3-4922-8ED1-97051832BEA6,11-06-2015 05:24,2,7
3E2CE022-AC17-4D7C-A349-5B4B0D90E8C0,11-06-2015 05:22,1,1
6BED1A04-43A3-431D-B908-5CD3E3843B5C,11-10-2015 11:31,4,3
DB48970D-9097-4E17-8A79-EABC82B57BBD,11-11-2015 21:58,1,2
1F6805C7-A833-424A-A810-FBBE86A00686,11/13/2015 9:51,6,9
894EF850-70F0-43BE-9BA1-4508506A8466,11/13/2015 7:57,2,10
C91787A3-59D4-414B-ABC7-AE5ABD85B131,11/14/2015 4:44,1,2
C91787A3-59D4-414B-ABC7-AE5ABD85B131,11/15/2015 6:32,1,6
C91787A3-59D4-414B-ABC7-AE5ABD85B131,11/15/2015 4:41,1,5
7A979620-A307-40C4-BA6B-ADFE6A7D46D7,11/17/2015 15:17,5,6
1F6805C7-A833-424A-A810-FBBE86A00686,11/18/2015 11:10,6,21
C91787A3-59D4-414B-ABC7-AE5ABD85B131,11/20/2015 9:43,13,23
