user_id,event_time,device_name,session_nb,user_country
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,10/14/2015 10:00,iPadAir,9,IN
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,10/14/2015 9:56,iPadAir,9,IN
DC155AB7-3728-4E8D-A933-1BD7A0BC993A,10/14/2015 9:23,iPhone6,3,CN
C47A6FCE-6C76-41FE-9A6A-173AC7F01315,10/14/2015 9:21,iPod5,3,IN
6BED1A04-43A3-431D-B908-5CD3E3843B5C,10/14/2015 8:57,iPhone6+,3,IN
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/14/2015 8:34,"iPhone8,2",2,FR
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/14/2015 8:34,"iPhone8,2",2,FR
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/14/2015 8:22,"iPhone8,2",1,FR
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,10/14/2015 5:56,iPadAir,6,IN
6BED1A04-43A3-431D-B908-5CD3E3843B5C,10/14/2015 5:49,iPhone6+,1,IN
936BAA84-CDE9-4C8F-A949-5E2CB077A9CE,10/14/2015 5:39,iPhone5S,4,US
6BED1A04-43A3-431D-B908-5CD3E3843B5C,10/14/2015 5:29,iPhone6+,1,IN
924E7428-E1F3-4B01-B8AA-82A9EF90C8EC,10/14/2015 5:23,iPadAir2,2,IN
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,10/14/2015 5:22,iPadAir,5,IN
9B929F4B-F206-4975-8FD5-36AE139D201F,10/14/2015 4:15,iPhone5S,8,IN
7F5E8F9B-269B-41BF-9DD5-F91EBFB1332D,10/15/2015 10:46,iPhone6+,12,IN
7F5E8F9B-269B-41BF-9DD5-F91EBFB1332D,10/15/2015 10:10,iPhone6+,7,IN
1CE1D120-D2FA-4DAF-80D2-9C5BBDCFB9A5,10/15/2015 9:19,"iPhone8,2",6,FR
FEAE206C-02E5-4610-B2A5-0EC5CBC73BBD,10/15/2015 5:16,iPadAir,2,IN
DC155AB7-3728-4E8D-A933-1BD7A0BC993A,10/15/2015 3:48,iPhone6,17,CN
